cod_ibge,E,X,M,IRBI,PH_x,PH_y,Ph_x,Ph_y,R_x,R_y,Angulo,Odu,Theta,S_m,S_potencial,S_dispersiva,Regime
1300631,0.00023116937654279134,0.5,0.0,0.1750924677506171,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300680,0.00020624775124327582,0.5,0.0,0.1750824991004973,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300706,0.0005867618755775858,0.5,0.0,0.17523470475023104,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300805,0.00041684362520042736,0.5,0.0,0.17516673745008016,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300839,0.00018428830436444587,0.5,0.0,0.17507371532174576,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300904,0.000165219148635564,0.5,0.0,0.17506608765945422,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301001,0.00040701409809281325,0.5,0.0,0.1751628056392371,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301100,0.00039901135339452985,0.5,0.0,0.1751596045413578,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301159,0.0003539803212719302,0.5,0.0,0.17514159212850877,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301209,0.005117605117016276,0.5,0.0,0.1770470420468065,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301308,0.0005305629445127582,0.5,0.0,0.1752122251778051,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301407,0.0005896067086004498,0.5,0.0,0.17523584268344017,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301506,0.0001996679516392975,0.5,0.0,0.1750798671806557,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301605,0.0002927006516311515,0.5,0.0,0.17511708026065245,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301654,0.00015367278435621774,0.5,0.0,0.17506146911374248,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301704,0.0009934429664603648,0.5,0.0,0.17539737718658413,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301803,0.00020464508797212686,0.5,0.0,0.17508185803518883,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301852,0.0010817913650310704,0.5,0.0,0.17543271654601242,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301902,0.0029115613247604026,0.5,0.0,0.17616462452990414,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1301951,0.00014830555386306256,0.5,0.0,0.17505932222154522,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1302009,0.00016172098718158516,0.5,0.0,0.17506468839487263,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1302108,0.00011259026629545279,0.5,0.0,0.17504503610651817,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1302207,0.00011591399540131843,0.5,0.0,0.1750463655981605,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
